区分,項目,方向性,主な数値,背景・要因,市場・実務上の見方
需要,世界石油需要,減少,2026年は前年比1.1 mb/d減。5月版比700 kb/d下方修正,高燃料価格と製品入手制約により、2Q26の受け渡しが大きく落ち込んだ,需要破壊の確認が中心。価格・製品供給制約の影響を重視
需要,2Q26世界需要,急減,2Q26の受け渡しは前年比5 mb/d減,高い燃料価格と製品入手制約が需要を圧迫,短期的な需要下振れが最も強い局面として確認
需要,2027年世界需要,回復,2027年は2 mb/d増の105.3 mb/d見通し,貿易フローの正常化、低下した原油価格、経済見通し改善,2026年の落ち込み後の回復幅と持続性を確認
需要,エンドユーザー需要,減少,2Q26は前年比5 mb/d減、2026年通年は1.1 mb/d減,約4カ月にわたる混乱の影響が製品・地域へ広がった,需要回復よりも、製品別・地域別の下押し継続を確認
需要,製品入手制約,悪化,具体的な製品別数量は記載なし,製品入手制約が2Q26の需要急減の一因として記載,製品供給の制約が需要と価格の双方に影響しやすい
供給,世界石油供給,減少,2026年は3.9 mb/d減の102.4 mb/d見通し,湾岸供給損失を非OPEC+の増加が一部相殺,供給正常化の速度が需給改善の主要確認点
供給,2027年世界供給,急回復,2027年は8 mb/d増の110.3 mb/d見通し,中東輸出の回復と供給正常化が前提,需要回復を上回る供給増が在庫再構築の余地を作る
供給,5月世界供給,低下,5月は94.5 mb/d、前月比600 kb/d減。紛争前水準比13.6 mb/d低い,操業・政治面の制約が残存,供給水準は依然低く、正常化確認までは不安定さが残る
地政学,米国・イラン暫定合意,改善,6月19日にスイスで署名予定。具体的な供給数量は記載なし,中東戦争終結、ホルムズ海峡再開、米国のイラン油輸送封鎖解除につながる可能性,合意内容と未解決事項が価格変動の焦点
地政学,ホルムズ海峡フロー,回復途上,5月の低水準9.6 mb/dから6月初旬に約12 mb/dへ増加,オマーン湾でのship-to-ship移送が支援,通航量の回復は供給緩和材料だが、完全正常化は未確認
地政学,供給回復制約,制約継続,具体的な数量は記載なし,主要航路の機雷除去、供給網正常化、未解決の通過取り決めが必要,回復シナリオには下振れリスクが残る
供給,イラン原油輸出,改善余地,具体的な輸出数量は記載なし,米国の封鎖解除後、イラン原油輸出は全面再開可能と記載,イラン輸出再開の速度が中東供給回復の重要要素
代替供給,大西洋盆地の輸出,増加,紛争開始以降、East of Suez向け原油輸出が3.5 mb/d増加,米州の堅調な成長と米国SPR放出が輸出増を支援,中東不足を一部補う緩衝材として確認
需要・精製,中国・日本の原油輸入,急減,中国と日本はいずれも約40%減、合計で約6 mb/d減,貿易混乱と製油所処理量低下が影響,アジアの原油輸入低下は需要・精製活動の弱さを示す
精製,世界製油所処理量,減少,2026年は2 mb/d減の82 mb/d見通し,原油供給の混乱と地域別の処理量削減,原油需要を抑える一方、製品市場の制約を強めやすい
精製,2Q26製油所処理量,大幅減少,2Q26は前年比4.7 mb/d減,原油供給正常化前の処理量削減が主因,短期の製品需給逼迫を確認する局面
